HourUTC,ActualPriceDKK,ForecastedPriceDKK,PersistenceForecastDKK
2023-12-02 00:00:00,765.57,777.40155,764.24
2023-12-02 01:00:00,754.83,787.82745,738.75
2023-12-02 02:00:00,737.24,794.20325,714.75
2023-12-02 03:00:00,730.3,787.8582,716.16
2023-12-02 04:00:00,729.33,780.4927,762.53
2023-12-02 05:00:00,737.54,775.6426,900.74
2023-12-02 06:00:00,781.89,776.12823,1140.33
2023-12-02 07:00:00,897.15,812.5883,1538.48
2023-12-02 08:00:00,954.4,933.1516,1700.47
2023-12-02 09:00:00,976.77,986.68365,1644.93
2023-12-02 10:00:00,949.63,1005.68896,1630.84
2023-12-02 11:00:00,906.39,980.10956,1532.37
2023-12-02 12:00:00,854.21,944.32556,1336.09
2023-12-02 13:00:00,883.58,898.6587,1334.15
2023-12-02 14:00:00,920.86,938.3953,1511.94
2023-12-02 15:00:00,967.6,974.07227,1789.18
2023-12-02 16:00:00,1073.84,1004.1967,2005.43
2023-12-02 17:00:00,1080.69,1098.3038,1763.83
2023-12-02 18:00:00,965.89,1078.2653,1268.85
2023-12-02 19:00:00,913.4,930.812,1069.44
2023-12-02 20:00:00,856.07,875.3762,932.79
2023-12-02 21:00:00,819.17,820.0036,882.62
2023-12-02 22:00:00,790.32,785.78235,806.06
2023-12-02 23:00:00,807.41,767.7501,784.43
2023-12-03 00:00:00,765.52,800.7706,765.57
2023-12-03 01:00:00,744.64,759.3686,754.83
2023-12-03 02:00:00,735.25,747.12366,737.24
2023-12-03 03:00:00,705.43,748.82587,730.3
2023-12-03 04:00:00,683.8,723.6497,729.33
2023-12-03 05:00:00,662.48,700.42694,737.54
2023-12-03 06:00:00,686.86,680.0156,781.89
2023-12-03 07:00:00,723.32,710.50287,897.15
2023-12-03 08:00:00,746.65,746.5497,954.4
2023-12-03 09:00:00,782.51,767.9304,976.77
2023-12-03 10:00:00,783.33,802.56976,949.63
2023-12-03 11:00:00,772.97,797.0771,906.39
2023-12-03 12:00:00,763.88,781.62103,854.21
2023-12-03 13:00:00,787.88,778.68884,883.58
2023-12-03 14:00:00,878.46,807.02637,920.86
2023-12-03 15:00:00,933.41,898.64215,967.6
2023-12-03 16:00:00,982.02,948.5182,1073.84
2023-12-03 17:00:00,985.75,990.5115,1080.69
2023-12-03 18:00:00,939.9,976.28845,965.89
2023-12-03 19:00:00,837.46,917.77466,913.4
2023-12-03 20:00:00,760.07,810.2285,856.07
2023-12-03 21:00:00,738.75,738.6519,819.17
2023-12-03 22:00:00,679.33,734.12164,790.32
2023-12-03 23:00:00,716.98,680.2884,807.41
2023-12-04 00:00:00,689.55,729.6045,765.52
2023-12-04 01:00:00,674.41,706.7731,744.64
2023-12-04 02:00:00,656.97,691.0061,735.25
2023-12-04 03:00:00,660.39,674.6655,705.43
2023-12-04 04:00:00,708.18,681.47,683.8
2023-12-04 05:00:00,796.38,725.1393,662.48
2023-12-04 06:00:00,1483.84,809.2838,686.86
2023-12-04 07:00:00,1756.56,1567.9453,723.32
2023-12-04 08:00:00,1763.12,1736.6166,746.65
2023-12-04 09:00:00,1538.26,1625.073,782.51
2023-12-04 10:00:00,1238.26,1359.8895,783.33
2023-12-04 11:00:00,1193.38,1065.6344,772.97
2023-12-04 12:00:00,1245.04,1075.7736,763.88
2023-12-04 13:00:00,1304.98,1167.6086,787.88
2023-12-04 14:00:00,1563.83,1254.7272,878.46
2023-12-04 15:00:00,1958.74,1549.4576,933.41
2023-12-04 16:00:00,1538.41,1974.3667,982.02
2023-12-04 17:00:00,1373.95,1402.7305,985.75
2023-12-04 18:00:00,1126.13,1254.0284,939.9
2023-12-04 19:00:00,928.12,1024.9688,837.46
2023-12-04 20:00:00,808.61,819.3236,760.07
2023-12-04 21:00:00,765.59,720.20105,738.75
2023-12-04 22:00:00,706.69,711.8897,679.33
2023-12-04 23:00:00,699.05,679.4548,716.98
2023-12-05 00:00:00,677.13,699.55646,689.55
2023-12-05 01:00:00,659.6,704.41626,674.41
2023-12-05 02:00:00,652.67,711.6958,656.97
2023-12-05 03:00:00,660.28,706.259,660.39
2023-12-05 04:00:00,703.22,707.6918,708.18
2023-12-05 05:00:00,825.57,747.64954,796.38
2023-12-05 06:00:00,1395.63,871.8225,1483.84
2023-12-05 07:00:00,2475.29,1483.6055,1756.56
2023-12-05 08:00:00,1864.52,2616.1597,1763.12
